Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8
Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T)
"29,650","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,593","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29,700","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,594","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,8E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29,750","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,595","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,9E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29,800","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,596","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-6,5E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29,850","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,597","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,8E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29,900","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,598","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,7E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29,950","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,599","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,7E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,000","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,600","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-6,4E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,050","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,601","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,8E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,100","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,602","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-6,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,150","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,603","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,5E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,200","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,604","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-6,1E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,250","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,605","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-6,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,300","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,606","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-6,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,350","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,607","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,5E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,400","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,608","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-6,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,450","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,609","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-6,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,500","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,610","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-6,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,550","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,611","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-6,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,600","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,"0,612","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-5,9E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,650","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,613","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-6,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,700","-6,970","0,000","0,000","-0,1664","0,000","0,000",2.00E-04,2.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,"0,614","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-6,0E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,750","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,"0,615","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-6,0E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,800","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,616","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-5,8E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,850","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,617","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-5,8E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,900","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,618","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-5,8E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30,950","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,619","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-5,9E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31,000","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,"0,620","0,000","0,000","0,000","0,0000","0,000","0,000",-5.00E-05,1.00E-05,"-5,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31,050","-6,970","0,000","0,000","-0,1664","0,000","0,000",2.00E-04,2.00E-05,"1,5E-6",,,,,,,,,,,,,,,,,,,,,"0,621","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-5,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31,100","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,622","0,000","0,000","0,000","0,0000","0,000","0,000",-5.00E-05,1.00E-05,"-5,5E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31,150","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,623","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-5,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31,200","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,624","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-5,5E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31,250","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,625","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-5,8E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31,300","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,626","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-5,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31,350","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,627","0,000","0,000","0,000","0,0000","0,000","0,000",-5.00E-05,1.00E-05,"-5,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31,400","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,628","0,000","0,000","0,000","0,0000","0,000","0,000",-5.00E-05,1.00E-05,"-5,1E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31,450","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,629","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-5,8E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31,500","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,630","0,000","0,000","0,000","0,0000","0,000","0,000",-5.00E-05,1.00E-05,"-5,5E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31,550","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,631","0,000","0,000","0,000","0,0000","0,000","0,000",-5.00E-05,1.00E-05,"-5,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31,600","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,632","0,000","0,000","0,000","0,0000","0,000","0,000",-5.00E-05,1.00E-05,"-5,4E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31,650","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,633","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-5,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31,700","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,"0,634","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-5,7E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31,750","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,635","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-5,5E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31,800","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,636","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-5,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31,850","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,637","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-6,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31,900","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,"0,638","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-5,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31,950","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,"0,639","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-5,9E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32,000","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,"0,640","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-5,9E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32,050","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,"0,641","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-5,9E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32,100","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,"0,642","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-5,9E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32,150","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,"0,643","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-5,9E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32,200","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,"0,644","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-5,9E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32,250","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,645","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-6,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32,300","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,646","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-6,1E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32,350","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,647","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-6,1E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32,400","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,648","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-6,1E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32,450","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,649","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-6,4E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32,500","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,"0,650","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-6,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32,550","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,"0,651","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,5E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32,600","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,0E-6",,,,,,,,,,,,,,,,,,,,,"0,652","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-6,4E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32,650","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,0E-6",,,,,,,,,,,,,,,,,,,,,"0,653","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-6,4E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32,700","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,"0,654","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32,750","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,655","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32,800","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,656","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32,850","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,657","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,1.00E-05,"-6,5E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32,900","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,4E-6",,,,,,,,,,,,,,,,,,,,,"0,658","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,5E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32,950","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,3E-6",,,,,,,,,,,,,,,,,,,,,"0,659","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,9E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33,000","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,660","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,8E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33,050","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,"0,661","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,9E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33,100","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,1E-6",,,,,,,,,,,,,,,,,,,,,"0,662","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,9E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33,150","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"9,6E-7",,,,,,,,,,,,,,,,,,,,,"0,663","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33,200","-6,970","0,000","0,000","-0,1664","0,000","0,000",1.00E-04,1.00E-05,"1,2E-6",,,,,,,,,,,,,,,,,,,,,"0,664","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,1.00E-05,"-6,8E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
